;;;;;;Mefenamic acid;;;;;;
;;;;;;Meclofenamic acid;;;;;;
;;;;;;Flufenamic acid;;;;;;
;;;;;;Tolfenamic acid;;;;;;
;;;;;;Celecoxib;;;;;;
;;;;;;Rofecoxib;;;;;;
;;;;;;Valdecoxib;;;;;;
;;;;;;Parecoxib;;;;;;
;;;;;;Lumiracoxib;;;;;;
;;;;;;Etoricoxib;;;;;;
;;;;;;Firocoxib;;;;;;
;;;;;;Nimesulide;;;;;;
;;;;;;Clonixin;;;;;;
;;;;;;Licofelone;;;;;;
;;;;;;Tiaprofenic acid;;;;;;
;;;;;;Tiaprofenic acid;;;;;;
;;;;;;Dysport;;;;;;
;;;;;;Gablofen;;;;;;
;;;;;;Soma;;;;;;
;;;;;;Lorzone;;;;;;
;;;;;;Amrix;;;;;;
;;;;;;Dantrium;;;;;;
;;;;;;Botox;;;;;;
;;;;;;Norflex;;;;;;
;;;;;;Skelaxin;;;;;;
;;;;;;Robaxin;;;;;;
;;;;;;Mybloc;;;;;;
;;;;;;Zanaflex;;;;;;
;;;;;;abobotulinumtoxinA;;;;;;
;;;;;;baclofen;;;;;;
;;;;;;carisoprodol;;;;;;
;;;;;;chlorzoxazone;;;;;;
;;;;;;cyclobenzaprine;;;;;;
;;;;;;dantrolene;;;;;;
;;;;;;onabotulinumtoxinA;;;;;;
;;;;;;orphenadrine;;;;;;
;;;;;;metaxalone;;;;;;
;;;;;;methocarbamol;;;;;;
;;;;;;rimabotulinumtoxinB;;;;;;
;;;;;;tizanidine;;;;;;
;;;;;;Vanadom;;;;;;
;;;;;;Lioresal;;;;;;
;;;;;;Fexmid;;;;;;
;;;;;;Flexeril;;;;;;
;;;;;;Duloxetine;;;;;;
;;;;;;citalopram;;;;;;
;;;;;;escitalopram;;;;;;
;;;;;;fluoxetine;;;;;;
;;;;;;fluvoxamine;;;;;;
;;;;;;paroxetine;;;;;;
;;;;;;sertraline;;;;;;
;;;;;;vilazodone;;;;;;
;;;;;;Celexa;;;;;;
;;;;;;Lexapro;;;;;;
;;;;;;Prozac;;;;;;
;;;;;;Luvox;;;;;;
;;;;;;Brisdelle;;;;;;
;;;;;;Zoloft;;;;;;
;;;;;;Viibrid;;;;;;
;;;;;;desvenlafaxine;;;;;;
;;;;;;duloxetine;;;;;;
;;;;;;levomilnacipran;;;;;;
;;;;;;milnacipran;;;;;;
;;;;;;venlafaxine;;;;;;
;;;;;;Khedezla;;;;;;
;;;;;;Cymbalta;;;;;;
;;;;;;Fetzima;;;;;;
;;;;;;Savella;;;;;;
;;;;;;Effexor;;;;;;
;;;;;;Pristiq;;;;;;
;;;;;;Irenka;;;;;;
;;;;;;Sarafem;;;;;;
;;;;;;Pexeva;;;;;;
;;;;;;Paxil;;;;;;
;;;;;;methylprednisolone;;;;;;
;;;;;;Prednisolone;;;;;;
;;;;;;bethamethasone;;;;;;
;;;;;;Celestone;;;;;;
;;;;;;Orapred;;;;;;
;;;;;;Prelone;;;;;;
;;;;;;Prednisone;;;;;;
;;;;;;Intensol;;;;;;
;;;;;;triamcinolone;;;;;;
;;;;;;Aristospan;;;;;;
;;;;;;Kenalog;;;;;;
;;;;;;Intralesional;;;;;;
;;;;;;Aristospan;;;;;;
;;;;;;Medrol;;;;;;
;;;;;;Depo-Medrol;;;;;;
;;;;;;Solu-Medrol;;;;;;
;;;;;;dexamethasone;;;;;;
;;;;;;DexPak;;;;;;
;;;;;;alprazolam;;;;;;
;;;;;;clobazam;;;;;;
;;;;;;clonazepam;;;;;;
;;;;;;clorazepate;;;;;;
;;;;;;chlordiazepoxide;;;;;;
;;;;;;diazepam;;;;;;
;;;;;;estazolam;;;;;;
;;;;;;lorazepam;;;;;;
;;;;;;oxazepam;;;;;;
;;;;;;temazepam;;;;;;
;;;;;;triazolam;;;;;;
;;;;;;Xanax;;;;;;
;;;;;;Onfi;;;;;;
;;;;;;Klonopin;;;;;;
;;;;;;Tranxene;;;;;;
;;;;;;Librium;;;;;;
;;;;;;Valium;;;;;;
;;;;;;Diastat;;;;;;
;;;;;;Prosom;;;;;;
;;;;;;Ativan;;;;;;
;;;;;;Serax;;;;;;
;;;;;;Restoril;;;;;;
;;;;;;Halcion;;;;;;
